a,k
0.433051,8.846899
0.361386,16.797723
0.333550,24.644957
0.318256,32.421418
0.308434,40.165220
0.301631,47.913438
0.296556,55.609194
0.292520,63.285007
0.289142,70.981400
0.286323,78.653210
0.284082,86.315238
0.282169,93.991249
0.280537,101.628672
0.278924,109.271141
0.277587,116.910030
0.276430,124.548372
0.275378,132.188863
0.274403,139.792080
0.273589,147.430641
0.272719,155.039789
0.271965,162.642537
0.271274,170.265445
0.270691,177.892193
0.270091,185.506544
0.269525,193.094552
0.269042,200.712657
